,solubility_category
1460,soluble
1461,soluble
1462,non-soluble
1463,non-soluble
1464,soluble
1465,soluble
1466,soluble
1467,soluble
1468,soluble
1469,soluble
1470,soluble
1471,non-soluble
1472,soluble
1473,soluble
1474,soluble
1475,soluble
1476,theta
1477,soluble
1478,soluble
1479,soluble
1480,soluble
1481,soluble
1482,soluble
1483,soluble
1484,soluble
1485,soluble
1486,soluble
1487,soluble
1488,soluble
1489,soluble
1490,soluble
1491,soluble
1492,soluble
1493,soluble
1494,soluble
1495,soluble
1496,soluble
1497,soluble
1498,soluble
1499,soluble
1500,non-soluble
1501,soluble
1502,soluble
1503,soluble
1504,soluble
1505,soluble
1506,soluble
1507,soluble
1508,soluble
1509,soluble
1510,soluble
1511,soluble
1512,soluble
1513,soluble
1514,soluble
1515,soluble
1516,soluble
1517,soluble
1518,soluble
1519,soluble
1520,soluble
1521,soluble
1522,soluble
1523,non-soluble
1524,non-soluble
1525,soluble
1526,non-soluble
1527,soluble
1528,soluble
1529,soluble
1530,soluble
1531,soluble
1532,soluble
1533,soluble
1534,theta
1535,non-soluble
1536,theta
1537,theta
1538,theta
1539,soluble
1540,soluble
1541,soluble
1542,theta
1543,soluble
1544,soluble
1545,soluble
1546,soluble
1547,soluble
1548,soluble
1549,soluble
1550,soluble
1551,soluble
1552,soluble
1553,soluble
1554,soluble
1555,soluble
1556,theta
1557,soluble
1558,soluble
1559,soluble
1560,theta
1561,theta
1562,soluble
1563,soluble
1564,soluble
1565,soluble
1566,soluble
1567,soluble
1568,soluble
1569,soluble
1570,soluble
1571,soluble
1572,soluble
1573,soluble
1574,soluble
1575,soluble
1576,soluble
1577,soluble
1578,theta
1579,soluble
1580,soluble
1581,soluble
1582,soluble
1583,soluble
1584,soluble
1585,soluble
1586,soluble
1587,soluble
1588,soluble
1589,theta
1590,soluble
1591,non-soluble
1592,soluble
1593,soluble
1594,theta
1595,theta
1596,soluble
1597,soluble
1598,soluble
1599,soluble
1600,theta
1601,theta
1602,soluble
1603,theta
1604,theta
1605,theta
1606,soluble
1607,soluble
1608,non-soluble
1609,non-soluble
1610,soluble
1611,soluble
1612,soluble
1613,soluble
1614,soluble
1615,non-soluble
1616,non-soluble
1617,non-soluble
1618,non-soluble
1619,non-soluble
1620,non-soluble
1621,non-soluble
1622,non-soluble
1623,non-soluble
1624,non-soluble
1625,non-soluble
1626,non-soluble
1627,non-soluble
1628,non-soluble
1629,non-soluble
1630,non-soluble
1631,non-soluble
1632,non-soluble
1633,non-soluble
1634,non-soluble
1635,non-soluble
1636,non-soluble
1637,non-soluble
1638,non-soluble
1639,non-soluble
1640,non-soluble
1641,soluble
1642,soluble
1643,soluble
1644,non-soluble
1645,soluble
1646,soluble
1647,non-soluble
1648,non-soluble
1649,non-soluble
1650,non-soluble
1651,theta
1652,soluble
1653,soluble
1654,soluble
1655,soluble
1656,soluble
1657,soluble
1658,soluble
1659,soluble
1660,theta
1661,soluble
1662,soluble
1663,soluble
1664,non-soluble
1665,non-soluble
1666,non-soluble
1667,non-soluble
1668,non-soluble
1669,soluble
1670,non-soluble
1671,non-soluble
1672,soluble
1673,theta
1674,soluble
1675,soluble
1676,soluble
1677,soluble
1678,soluble
1679,soluble
1680,soluble
1681,soluble
1682,non-soluble
1683,soluble
1684,soluble
1685,soluble
1686,soluble
1687,soluble
1688,soluble
1689,soluble
1690,soluble
1691,soluble
1692,soluble
1693,theta
1694,soluble
1695,non-soluble
1696,non-soluble
1697,theta
1698,soluble
1699,non-soluble
1700,non-soluble
1701,non-soluble
1702,non-soluble
1703,non-soluble
1704,non-soluble
1705,non-soluble
1706,non-soluble
1707,non-soluble
1708,non-soluble
1709,non-soluble
1710,theta
1711,non-soluble
1712,non-soluble
1713,non-soluble
1714,soluble
1715,theta
1716,soluble
1717,non-soluble
1718,non-soluble
1719,theta
1720,theta
1721,theta
1722,theta
1723,soluble
1724,soluble
1725,non-soluble
1726,non-soluble
1727,soluble
1728,soluble
1729,soluble
1730,soluble
1731,theta
1732,non-soluble
1733,theta
1734,soluble
1735,soluble
1736,soluble
1737,soluble
1738,soluble
1739,soluble
1740,soluble
1741,soluble
1742,soluble
1743,soluble
1744,soluble
1745,soluble
1746,soluble
1747,soluble
1748,soluble
1749,non-soluble
1750,soluble
1751,soluble
1752,soluble
1753,soluble
1754,soluble
1755,non-soluble
1756,soluble
1757,soluble
1758,soluble
1759,soluble
1760,soluble
1761,non-soluble
1762,soluble
1763,soluble
1764,soluble
1765,soluble
1766,soluble
1767,soluble
1768,soluble
1769,soluble
1770,soluble
1771,soluble
1772,soluble
1773,soluble
1774,soluble
1775,soluble
1776,soluble
1777,soluble
1778,non-soluble
1779,non-soluble
1780,non-soluble
1781,non-soluble
1782,non-soluble
1783,soluble
1784,soluble
1785,non-soluble
1786,non-soluble
1787,non-soluble
1788,non-soluble
1789,non-soluble
1790,non-soluble
1791,non-soluble
1792,non-soluble
1793,non-soluble
1794,non-soluble
1795,non-soluble
1796,non-soluble
1797,non-soluble
1798,non-soluble
1799,non-soluble
1800,non-soluble
1801,non-soluble
1802,non-soluble
1803,non-soluble
1804,non-soluble
1805,non-soluble
1806,non-soluble
1807,non-soluble
1808,non-soluble
1809,non-soluble
1810,non-soluble
1811,soluble
1812,soluble
1813,theta
1814,theta
1815,soluble
1816,soluble
1817,non-soluble
1818,non-soluble
1819,non-soluble
1820,non-soluble
1821,theta
1822,soluble
1823,soluble
1824,soluble
1825,soluble
1826,non-soluble
1827,soluble
1828,soluble
1829,soluble
1830,non-soluble
1831,soluble
1832,soluble
1833,soluble
1834,non-soluble
1835,non-soluble
1836,non-soluble
1837,non-soluble
1838,non-soluble
1839,soluble
1840,non-soluble
1841,non-soluble
1842,soluble
1843,non-soluble
1844,soluble
1845,non-soluble
1846,soluble
1847,soluble
1848,soluble
1849,soluble
1850,soluble
1851,soluble
1852,non-soluble
1853,soluble
1854,soluble
1855,soluble
1856,soluble
1857,soluble
1858,soluble
1859,soluble
1860,soluble
1861,soluble
1862,soluble
1863,soluble
1864,soluble
1865,non-soluble
1866,non-soluble
1867,theta
1868,non-soluble
1869,non-soluble
1870,non-soluble
1871,non-soluble
1872,non-soluble
1873,soluble
1874,soluble
1875,soluble
1876,soluble
1877,soluble
1878,soluble
1879,non-soluble
1880,non-soluble
1881,non-soluble
1882,non-soluble
1883,soluble
1884,soluble
1885,non-soluble
1886,non-soluble
1887,non-soluble
1888,non-soluble
1889,soluble
1890,non-soluble
1891,non-soluble
1892,non-soluble
1893,non-soluble
1894,non-soluble
1895,non-soluble
1896,soluble
1897,soluble
1898,non-soluble
1899,soluble
1900,soluble
1901,soluble
1902,non-soluble
1903,non-soluble
1904,non-soluble
1905,non-soluble
1906,soluble
1907,soluble
1908,soluble
1909,soluble
1910,soluble
1911,non-soluble
1912,soluble
1913,soluble
1914,soluble
1915,soluble
1916,soluble
1917,soluble
1918,soluble
1919,non-soluble
1920,non-soluble
1921,non-soluble
1922,non-soluble
1923,non-soluble
1924,non-soluble
1925,non-soluble
1926,non-soluble
1927,soluble
1928,theta
1929,soluble
1930,theta
1931,soluble
1932,soluble
1933,soluble
1934,soluble
1935,soluble
1936,soluble
1937,non-soluble
1938,soluble
1939,soluble
1940,non-soluble
1941,soluble
1942,soluble
1943,soluble
1944,soluble
1945,soluble
1946,soluble
1947,soluble
1948,soluble
1949,soluble
1950,non-soluble
1951,non-soluble
1952,soluble
1953,non-soluble
1954,non-soluble
1955,non-soluble
1956,non-soluble
1957,non-soluble
1958,non-soluble
1959,non-soluble
1960,non-soluble
1961,non-soluble
1962,non-soluble
1963,non-soluble
1964,non-soluble
1965,non-soluble
1966,non-soluble
1967,non-soluble
1968,non-soluble
1969,non-soluble
1970,non-soluble
1971,non-soluble
1972,non-soluble
1973,non-soluble
1974,non-soluble
1975,non-soluble
1976,non-soluble
1977,non-soluble
1978,non-soluble
1979,non-soluble
1980,non-soluble
1981,soluble
1982,soluble
1983,soluble
1984,theta
1985,soluble
1986,soluble
1987,non-soluble
1988,non-soluble
1989,non-soluble
1990,non-soluble
1991,theta
1992,theta
1993,soluble
1994,soluble
1995,soluble
1996,soluble
1997,soluble
1998,soluble
1999,soluble
2000,non-soluble
2001,soluble
2002,soluble
2003,soluble
2004,non-soluble
2005,non-soluble
2006,non-soluble
2007,non-soluble
2008,non-soluble
2009,soluble
2010,non-soluble
2011,non-soluble
2012,soluble
2013,non-soluble
2014,soluble
2015,soluble
2016,soluble
2017,soluble
2018,soluble
2019,soluble
2020,soluble
2021,soluble
2022,non-soluble
2023,soluble
2024,soluble
2025,soluble
2026,soluble
2027,soluble
2028,soluble
2029,soluble
2030,soluble
2031,soluble
2032,soluble
2033,soluble
2034,soluble
2035,non-soluble
2036,non-soluble
2037,theta
2038,theta
2039,non-soluble
2040,non-soluble
2041,non-soluble
2042,non-soluble
2043,soluble
2044,soluble
2045,soluble
2046,soluble
2047,soluble
2048,soluble
2049,non-soluble
2050,non-soluble
2051,non-soluble
2052,non-soluble
2053,soluble
2054,soluble
2055,non-soluble
2056,theta
2057,non-soluble
2058,non-soluble
2059,theta
2060,non-soluble
2061,non-soluble
2062,non-soluble
2063,non-soluble
2064,non-soluble
2065,non-soluble
2066,non-soluble
2067,non-soluble
2068,non-soluble
2069,non-soluble
2070,non-soluble
2071,theta
2072,non-soluble
2073,non-soluble
2074,non-soluble
2075,non-soluble
2076,non-soluble
2077,non-soluble
2078,non-soluble
2079,non-soluble
2080,non-soluble
2081,non-soluble
2082,non-soluble
2083,soluble
2084,non-soluble
2085,non-soluble
2086,non-soluble
2087,non-soluble
2088,non-soluble
2089,non-soluble
2090,non-soluble
2091,non-soluble
2092,non-soluble
2093,non-soluble
2094,non-soluble
2095,non-soluble
2096,non-soluble
2097,non-soluble
2098,non-soluble
2099,soluble
2100,non-soluble
2101,theta
2102,soluble
2103,soluble
2104,non-soluble
2105,non-soluble
2106,soluble
2107,non-soluble
2108,non-soluble
2109,non-soluble
2110,non-soluble
2111,non-soluble
2112,non-soluble
2113,non-soluble
2114,non-soluble
2115,non-soluble
2116,non-soluble
2117,non-soluble
2118,non-soluble
2119,non-soluble
2120,theta
2121,theta
2122,soluble
2123,theta
2124,non-soluble
2125,non-soluble
2126,non-soluble
2127,theta
2128,non-soluble
2129,theta
2130,soluble
2131,soluble
2132,soluble
2133,soluble
2134,non-soluble
2135,non-soluble
2136,non-soluble
2137,non-soluble
2138,soluble
2139,soluble
2140,theta
2141,soluble
2142,non-soluble
2143,non-soluble
2144,soluble
2145,non-soluble
2146,soluble
2147,soluble
2148,soluble
2149,soluble
2150,theta
2151,soluble
2152,soluble
2153,soluble
2154,soluble
2155,soluble
2156,soluble
2157,non-soluble
2158,non-soluble
2159,non-soluble
2160,soluble
2161,soluble
2162,soluble
2163,soluble
2164,soluble
2165,soluble
2166,soluble
2167,soluble
2168,soluble
2169,soluble
2170,soluble
2171,soluble
2172,soluble
2173,soluble
2174,theta
2175,theta
2176,theta
2177,soluble
2178,soluble
2179,soluble
2180,non-soluble
2181,theta
2182,soluble
2183,soluble
2184,soluble
2185,soluble
2186,soluble
2187,soluble
2188,soluble
2189,soluble
2190,soluble
2191,soluble
2192,soluble
2193,soluble
2194,soluble
2195,soluble
2196,soluble
2197,soluble
2198,soluble
2199,soluble
2200,soluble
2201,soluble
2202,soluble
2203,theta
2204,soluble
2205,theta
2206,non-soluble
2207,soluble
2208,soluble
2209,non-soluble
2210,soluble
2211,soluble
2212,soluble
2213,soluble
2214,soluble
2215,soluble
2216,soluble
2217,soluble
2218,soluble
2219,soluble
2220,non-soluble
2221,soluble
2222,non-soluble
2223,soluble
2224,soluble
2225,soluble
2226,soluble
2227,soluble
2228,soluble
2229,soluble
2230,soluble
2231,soluble
2232,soluble
2233,soluble
2234,soluble
2235,soluble
2236,soluble
2237,soluble
2238,soluble
2239,soluble
2240,soluble
2241,soluble
2242,soluble
2243,soluble
2244,soluble
2245,soluble
2246,soluble
2247,soluble
2248,soluble
2249,soluble
2250,soluble
2251,soluble
2252,soluble
2253,soluble
2254,soluble
2255,soluble
2256,soluble
2257,soluble
2258,soluble
2259,soluble
2260,soluble
2261,soluble
2262,soluble
2263,soluble
2264,soluble
2265,non-soluble
2266,soluble
2267,soluble
2268,soluble
2269,soluble
2270,soluble
2271,soluble
2272,soluble
2273,soluble
2274,soluble
2275,soluble
2276,soluble
2277,soluble
2278,soluble
2279,soluble
2280,soluble
2281,soluble
2282,soluble
2283,soluble
2284,soluble
2285,soluble
2286,soluble
2287,soluble
2288,non-soluble
2289,theta
2290,soluble
2291,soluble
2292,soluble
2293,soluble
2294,soluble
2295,non-soluble
2296,non-soluble
2297,non-soluble
2298,non-soluble
2299,non-soluble
2300,non-soluble
2301,non-soluble
2302,soluble
2303,non-soluble
2304,non-soluble
2305,non-soluble
2306,non-soluble
2307,non-soluble
2308,non-soluble
2309,non-soluble
2310,non-soluble
2311,non-soluble
2312,non-soluble
2313,non-soluble
2314,non-soluble
2315,non-soluble
2316,non-soluble
2317,non-soluble
2318,non-soluble
2319,non-soluble
2320,non-soluble
2321,soluble
2322,soluble
2323,theta
2324,non-soluble
2325,soluble
2326,soluble
2327,non-soluble
2328,non-soluble
2329,non-soluble
2330,non-soluble
2331,non-soluble
2332,soluble
2333,soluble
2334,soluble
2335,soluble
2336,non-soluble
2337,soluble
2338,soluble
2339,soluble
2340,theta
2341,soluble
2342,soluble
2343,soluble
2344,non-soluble
2345,non-soluble
2346,non-soluble
2347,non-soluble
2348,non-soluble
2349,non-soluble
2350,non-soluble
2351,non-soluble
2352,soluble
2353,non-soluble
2354,soluble
2355,non-soluble
2356,soluble
2357,soluble
2358,soluble
2359,soluble
2360,soluble
2361,soluble
2362,theta
2363,soluble
2364,soluble
2365,soluble
2366,soluble
2367,soluble
2368,soluble
2369,soluble
2370,soluble
2371,soluble
2372,soluble
2373,soluble
2374,soluble
2375,non-soluble
2376,non-soluble
2377,soluble
2378,non-soluble
2379,non-soluble
2380,non-soluble
2381,non-soluble
2382,non-soluble
2383,theta
2384,theta
2385,theta
2386,theta
2387,theta
2388,theta
2389,non-soluble
2390,non-soluble
2391,non-soluble
2392,non-soluble
2393,soluble
2394,soluble
2395,soluble
2396,soluble
2397,soluble
2398,soluble
2399,soluble
2400,soluble
2401,soluble
2402,soluble
2403,soluble
2404,soluble
2405,soluble
2406,theta
2407,theta
2408,soluble
2409,soluble
2410,theta
2411,non-soluble
2412,soluble
2413,soluble
2414,soluble
2415,soluble
2416,soluble
2417,theta
2418,theta
2419,non-soluble
2420,soluble
2421,soluble
2422,soluble
2423,soluble
2424,soluble
2425,soluble
2426,soluble
2427,theta
2428,non-soluble
2429,theta
2430,theta
2431,theta
2432,theta
2433,soluble
2434,soluble
2435,soluble
2436,soluble
2437,soluble
2438,soluble
2439,soluble
2440,soluble
2441,theta
2442,soluble
2443,soluble
2444,theta
2445,theta
2446,theta
2447,soluble
2448,theta
2449,theta
2450,non-soluble
2451,theta
2452,theta
2453,non-soluble
2454,non-soluble
2455,non-soluble
2456,theta
2457,non-soluble
2458,non-soluble
2459,non-soluble
2460,soluble
2461,non-soluble
2462,theta
2463,soluble
2464,soluble
2465,non-soluble
2466,non-soluble
2467,non-soluble
2468,non-soluble
2469,non-soluble
2470,non-soluble
2471,non-soluble
2472,non-soluble
2473,non-soluble
2474,non-soluble
2475,non-soluble
2476,non-soluble
2477,non-soluble
2478,non-soluble
2479,non-soluble
2480,non-soluble
2481,non-soluble
2482,non-soluble
2483,non-soluble
2484,non-soluble
2485,non-soluble
2486,non-soluble
2487,non-soluble
2488,non-soluble
2489,non-soluble
2490,non-soluble
2491,soluble
2492,soluble
2493,non-soluble
2494,theta
2495,soluble
2496,soluble
2497,non-soluble
2498,non-soluble
2499,non-soluble
2500,non-soluble
2501,non-soluble
2502,theta
2503,soluble
2504,soluble
2505,non-soluble
2506,non-soluble
2507,soluble
2508,soluble
2509,theta
2510,theta
2511,soluble
2512,soluble
2513,soluble
2514,non-soluble
2515,non-soluble
2516,non-soluble
2517,non-soluble
2518,non-soluble
2519,non-soluble
2520,non-soluble
2521,non-soluble
2522,soluble
2523,non-soluble
2524,soluble
2525,non-soluble
2526,soluble
2527,soluble
2528,soluble
2529,soluble
2530,soluble
2531,soluble
2532,non-soluble
2533,soluble
2534,soluble
2535,soluble
2536,soluble
2537,soluble
2538,soluble
2539,soluble
2540,soluble
2541,soluble
2542,soluble
2543,soluble
2544,soluble
2545,non-soluble
2546,non-soluble
2547,theta
2548,theta
2549,non-soluble
2550,non-soluble
2551,non-soluble
2552,non-soluble
2553,non-soluble
2554,non-soluble
2555,non-soluble
2556,non-soluble
2557,non-soluble
2558,non-soluble
2559,non-soluble
2560,non-soluble
2561,non-soluble
2562,non-soluble
2563,non-soluble
2564,non-soluble
2565,non-soluble
2566,non-soluble
2567,non-soluble
2568,non-soluble
2569,non-soluble
2570,non-soluble
2571,non-soluble
2572,non-soluble
2573,non-soluble
2574,non-soluble
2575,non-soluble
2576,non-soluble
2577,non-soluble
2578,theta
2579,non-soluble
2580,non-soluble
2581,non-soluble
2582,soluble
2583,non-soluble
2584,theta
2585,non-soluble
2586,theta
2587,theta
2588,non-soluble
2589,non-soluble
2590,soluble
2591,soluble
2592,soluble
2593,soluble
2594,soluble
2595,non-soluble
2596,non-soluble
2597,non-soluble
2598,non-soluble
2599,non-soluble
2600,non-soluble
2601,non-soluble
2602,non-soluble
2603,theta
2604,soluble
2605,non-soluble
2606,theta
2607,non-soluble
2608,soluble
2609,non-soluble
2610,soluble
2611,non-soluble
2612,non-soluble
2613,soluble
2614,non-soluble
2615,non-soluble
2616,non-soluble
2617,theta
2618,theta
2619,theta
2620,theta
2621,non-soluble
2622,non-soluble
2623,non-soluble
2624,non-soluble
2625,non-soluble
2626,non-soluble
2627,non-soluble
2628,non-soluble
2629,non-soluble
2630,non-soluble
2631,non-soluble
2632,non-soluble
2633,soluble
2634,non-soluble
2635,non-soluble
2636,non-soluble
2637,non-soluble
2638,non-soluble
2639,non-soluble
2640,non-soluble
2641,non-soluble
2642,non-soluble
2643,non-soluble
2644,non-soluble
2645,non-soluble
2646,non-soluble
2647,non-soluble
2648,non-soluble
2649,soluble
2650,non-soluble
2651,soluble
2652,non-soluble
2653,non-soluble
2654,soluble
2655,theta
2656,soluble
2657,soluble
2658,non-soluble
2659,soluble
2660,non-soluble
2661,soluble
2662,soluble
2663,soluble
2664,soluble
2665,soluble
2666,soluble
2667,non-soluble
2668,non-soluble
2669,soluble
2670,soluble
2671,soluble
2672,soluble
2673,soluble
2674,soluble
2675,soluble
2676,soluble
2677,soluble
2678,soluble
2679,soluble
2680,soluble
2681,soluble
2682,soluble
2683,soluble
2684,non-soluble
2685,non-soluble
2686,soluble
2687,soluble
2688,soluble
2689,soluble
2690,non-soluble
2691,soluble
2692,soluble
2693,soluble
2694,soluble
2695,soluble
2696,soluble
2697,soluble
2698,soluble
2699,soluble
2700,soluble
2701,soluble
2702,soluble
2703,soluble
2704,soluble
2705,soluble
2706,soluble
2707,soluble
2708,soluble
2709,soluble
2710,soluble
2711,soluble
2712,soluble
2713,non-soluble
2714,soluble
2715,non-soluble
2716,non-soluble
2717,soluble
2718,soluble
2719,non-soluble
2720,non-soluble
2721,non-soluble
2722,non-soluble
2723,non-soluble
2724,non-soluble
2725,non-soluble
2726,non-soluble
2727,non-soluble
2728,non-soluble
2729,theta
2730,soluble
2731,non-soluble
2732,non-soluble
2733,non-soluble
2734,soluble
2735,theta
2736,non-soluble
2737,soluble
2738,soluble
2739,non-soluble
2740,soluble
2741,soluble
2742,soluble
2743,soluble
2744,non-soluble
2745,soluble
2746,non-soluble
2747,non-soluble
2748,soluble
2749,non-soluble
2750,non-soluble
2751,theta
2752,soluble
2753,non-soluble
2754,soluble
2755,non-soluble
2756,non-soluble
2757,non-soluble
2758,non-soluble
2759,non-soluble
2760,non-soluble
2761,theta
2762,non-soluble
2763,theta
2764,theta
2765,non-soluble
2766,non-soluble
2767,non-soluble
2768,non-soluble
2769,non-soluble
2770,non-soluble
2771,non-soluble
2772,non-soluble
2773,soluble
2774,theta
2775,soluble
2776,soluble
2777,non-soluble
2778,soluble
2779,theta
2780,soluble
2781,non-soluble
2782,non-soluble
2783,non-soluble
2784,non-soluble
2785,non-soluble
2786,non-soluble
2787,non-soluble
2788,non-soluble
2789,theta
2790,theta
2791,non-soluble
2792,non-soluble
2793,non-soluble
2794,non-soluble
2795,non-soluble
2796,non-soluble
2797,theta
2798,non-soluble
2799,non-soluble
2800,theta
2801,soluble
2802,non-soluble
2803,theta
2804,non-soluble
